ID, current classification, confidence level
6057.0,clumpy,High Confidence
10462.0,nonclumpy,Multiple Galaxies
10902.0,nonclumpy,High Confidence
25243.0,clumpy,High Confidence
25361.0,nonclumpy,Very low confidence
28099.0,clumpy,Multiple Galaxies
28616.0,clumpy,Uncertain
29014.0,clumpy,Multiple Galaxies
29906.0,nonclumpy,Uncertain
30968.0,clumpy,Very low confidence
32841.0,clumpy,Multiple Galaxies
36641.0,nonclumpy,High Confidence
37170.0,clumpy,Very low confidence
39409.0,nonclumpy,High Confidence
40560.0,clumpy,High Confidence
41325.0,clumpy,Uncertain
53400.0,nonclumpy,High Confidence
55210.0,nonclumpy,Uncertain
55866.0,nonclumpy,Very low confidence
56919.0,nonclumpy,Very low confidence
58707.0,nonclumpy,Uncertain
58710.0,clumpy,High Confidence
59928.0,nonclumpy,High Confidence
60186.0,clumpy,High Confidence
61242.0,nonclumpy,Needs checking
61327.0,clumpy,High Confidence
64754.0,nonclumpy,High Confidence
65508.0,nonclumpy,Multiple Galaxies
65699.0,nonclumpy,Needs checking
67141.0,clumpy,High Confidence
68343.0,clumpy,Uncertain
68830.0,nonclumpy,High Confidence
69628.0,clumpy,Multiple Galaxies
69821.0,clumpy,High Confidence
70416.0,clumpy,Uncertain
70987.0,clumpy,High Confidence
73754.0,clumpy,High Confidence
75936.0,clumpy,High Confidence
76238.0,nonclumpy,Uncertain
76997.0,clumpy,Multiple Galaxies
80044.0,nonclumpy,Multiple Galaxies
83849.0,clumpy,High Confidence
84726.0,clumpy,High Confidence
85528.0,nonclumpy,High Confidence
86610.0,clumpy,High Confidence
86943.0,clumpy,High Confidence
89153.0,nonclumpy,High Confidence
89711.0,nonclumpy,Multiple Galaxies
90258.0,clumpy,High Confidence
91840.0,clumpy,Uncertain
92377.0,clumpy,High Confidence
97159.0,nonclumpy,High Confidence
101417.0,nonclumpy,Multiple Galaxies
101992.0,nonclumpy,High Confidence
102571.0,clumpy,Very low confidence
103155.0,clumpy,Uncertain
105346.0,nonclumpy,High Confidence
105701.0,nonclumpy,High Confidence
108440.0,nonclumpy,Needs checking
108513.0,clumpy,Very low confidence
109010.0,clumpy,Multiple Galaxies
110242.0,nonclumpy,High Confidence
110586.0,nonclumpy,High Confidence
110979.0,clumpy,Uncertain
113408.0,clumpy,High Confidence
113551.0,nonclumpy,Needs checking
117124.0,clumpy,Uncertain
117232.0,clumpy,High Confidence
118390.0,nonclumpy,Very low confidence
119313.0,clumpy,Uncertain
121595.0,nonclumpy,Multiple Galaxies
