ID, Smass, SFR, Mass_Clumpy, UV_Clumpy, O3727, O4959, O5007, HBeta, R23
3945.0,10.69,1.310863174272544,0.0,0.0,0.9285,819.591,-99.0,-99.0,-99.0,-6.27869696969697
4121.0,10.43,0.6711728427150833,0.0,1.0,0.6705,111.3273,-99.0,-99.0,-99.0,0.8754818181818182
4792.0,10.52,0.6821450763738317,0.0,0.0,0.6051,-99.0,79.8608,207.0199,488.6895,0.3844582296120542
5882.0,10.98,1.2246884174572874,0.0,1.0,0.7237,2306.4209,-99.0,-99.0,-99.0,-21.29718080808081
6057.0,10.38,0.8505849763520315,0.0,1.0,0.6726,560.3792,28.9804,112.9376,424.3471,1.6550064793655948
6311.0,10.39,1.3047058982127655,1.0,1.0,0.8968,291.3834,-99.0,-99.0,-99.0,-0.9432666666666666
7419.0,10.99,2.071406968036768,0.0,1.0,0.972,3240.8347,-99.0,-99.0,-99.0,-30.735704040404038
9746.0,10.11,0.4063698354692675,0.0,1.0,0.7065,521.2645,-99.0,-99.0,-99.0,-3.26529797979798
10224.0,10.79,1.0721763444789665,0.0,1.0,0.8319,621.1085,-99.0,-99.0,-99.0,-4.273823232323233
10462.0,10.17,0.7567121601647717,0.0,0.0,0.7096,560.7368,43.8934,132.6995,379.1355,1.9447656576606518
10902.0,10.69,0.9241241531858247,0.0,0.0,0.7095,358.7158,23.5963,109.178,599.2507,0.8201744278312899
11644.0,10.66,1.7984434603501875,0.0,1.0,1.0414,735.2328,-99.0,-99.0,-99.0,-5.426593939393939
11959.0,9.8,-0.3565473235138126,0.0,1.0,0.7088,318.9611,13.1493,-99.0,163.5115,1.4256514067817856
12981.0,10.9,1.4935974490005268,0.0,0.0,0.9571,823.8964,-99.0,-99.0,-99.0,-6.322185858585859
13081.0,9.86,0.6451273992583911,0.0,0.0,0.8681,1472.4072,-99.0,-99.0,-99.0,-12.872800000000002
13315.0,10.61,1.6553497656554337,0.0,0.0,0.8578,890.5503,-99.0,-99.0,-99.0,-6.995457575757576
13570.0,10.94,1.3334674269053712,0.0,0.0,0.9709,490.0556,-99.0,-99.0,-99.0,-2.950056565656566
13719.0,10.52,1.547823914439136,1.0,1.0,0.9746,745.1276,-99.0,-99.0,-99.0,-5.526541414141414
14729.0,10.96,2.1445243931993416,0.0,0.0,0.8644,2782.8066,-99.0,-99.0,-99.0,-26.109157575757575
25061.0,10.52,1.3350765973144054,0.0,0.0,0.9884,-99.0,-99.0,-99.0,-99.0,3.0
25243.0,10.93,1.2124539610402758,0.0,1.0,0.6294,449.6969,119.8993,138.0416,650.9747,1.0870434749614695
25263.0,11.14,1.7849737099544007,0.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
25263.0,11.14,1.7849737099544007,0.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
25343.0,9.82,1.217246991685393,1.0,0.0,0.6954,1034.5708,59.833,-99.0,352.8534,2.8210123524387183
25361.0,10.48,1.0111896876099913,0.0,0.0,0.7928,217.2993,46.4967,33.5567,229.0487,1.2982073244685517
25457.0,10.47,1.14170055699739,0.0,0.0,0.8922,174.7848,-99.0,-99.0,-99.0,0.2344969696969698
25478.0,10.28,1.524110393495136,1.0,0.0,1.1477,-99.0,-99.0,-99.0,-99.0,3.0
25607.0,10.44,1.539439950378438,0.0,1.0,0.9698,811.4713,-99.0,-99.0,-99.0,-6.196679797979798
25614.0,10.81,0.909823369650912,0.0,0.0,0.9079,-99.0,-99.0,-99.0,-99.0,3.0
25734.0,10.77,1.7001670060025815,0.0,0.0,0.8507,776.4927,-99.0,-99.0,-99.0,-5.843360606060606
25734.0,10.77,1.7001670060025815,0.0,0.0,0.8507,776.4927,-99.0,-99.0,-99.0,-5.843360606060606
25743.0,9.85,0.825555932290357,0.0,1.0,0.6711,1489.7627,-99.0,-99.0,643.9844,2.0058912917766327
26232.0,10.34,1.0846120208652514,0.0,1.0,0.7724,1022.219,-99.0,-99.0,-99.0,-8.325444444444445
26436.0,10.29,1.0509980791733842,0.0,0.0,0.5286,-99.0,32.6748,82.8216,151.3308,0.10900887327629277
26557.0,10.84,1.221492482051523,0.0,1.0,0.7327,137.9938,-99.0,-99.0,-99.0,0.6061232323232324
26794.0,10.24,1.358753139761521,0.0,1.0,0.9053,738.5603,-99.0,-99.0,-99.0,-5.46020505050505
26807.0,11.05,2.02592818108121,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
26848.0,10.09,1.1530217436261383,0.0,1.0,0.9342,614.0599,-99.0,-99.0,-99.0,-4.2026252525252525
26978.0,10.68,1.2087905865482986,0.0,0.0,0.8509,403.7093,-99.0,-99.0,-99.0,-2.077871717171717
27145.0,11.16,1.7125907817125274,0.0,1.0,1.1237,786.4492,-99.0,-99.0,-99.0,-5.943931313131313
27314.0,9.96,1.395308916078588,1.0,1.0,0.8922,369.7922,-99.0,-99.0,-99.0,-1.7352747474747472
27426.0,10.45,1.5247854493212225,0.0,0.0,0.8092,1002.7034,-99.0,-99.0,-99.0,-8.128317171717171
27440.0,10.98,1.7299095815156005,0.0,1.0,1.168,831.0447,-99.0,-99.0,-99.0,-6.39439090909091
27460.0,10.47,0.3645509953539719,0.0,0.0,0.7386,-99.0,17.2176,9.7439,202.0533,-0.35653216255314807
27690.0,10.64,1.1777096060831815,0.0,1.0,0.9247,171.9984,-99.0,-99.0,-99.0,0.2626424242424242
27797.0,11.12,1.1489726345092048,0.0,0.0,0.9683,187.5762,-99.0,-99.0,-99.0,0.10529090909090909
27807.0,10.24,2.1108421337192604,0.0,0.0,1.7698,-99.0,-99.0,-99.0,-99.0,3.0
27957.0,10.52,1.8708017287404388,1.0,1.0,1.0234,1319.728,-99.0,-99.0,-99.0,-11.33058585858586
28012.0,9.99,0.4019172505175746,0.0,0.0,0.6358,-99.0,9.2932,50.441,232.8143,-0.16865716581842266
28062.0,10.83,1.448010273039476,0.0,0.0,0.7738,1132.3315,-99.0,-99.0,-99.0,-9.43769191919192
28062.0,10.83,1.448010273039476,0.0,0.0,0.7738,1132.3315,-99.0,-99.0,-99.0,-9.43769191919192
28094.0,10.82,1.4561078093069328,0.0,1.0,0.945,168.3523,-99.0,-99.0,-99.0,0.29947171717171706
28099.0,10.32,1.079543007402906,1.0,1.0,0.7327,89.6054,3.7418,22.2407,62.6391,1.8452995014296183
28161.0,10.37,0.1637575239819558,0.0,0.0,0.7373,722.7359,-99.0,-99.0,-99.0,-5.300362626262626
28183.0,10.94,1.1621161410623684,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
28202.0,10.78,1.1220519626332497,0.0,0.0,0.9169,234.5645,-99.0,-99.0,-99.0,-0.3693383838383839
28341.0,10.49,2.571757730847238,1.0,0.0,1.8594,-99.0,-99.0,-99.0,-99.0,3.0
28512.0,10.69,1.1590857137143455,0.0,0.0,0.6227,-99.0,51.8226,127.6861,870.2159,0.09251577683193332
28585.0,10.32,1.3631981690157642,0.0,1.0,0.8927,772.304,-99.0,-99.0,-99.0,-5.801050505050505
28616.0,10.38,1.0821388313934477,0.0,1.0,0.6799,507.472,91.1963,159.6725,683.949,1.1087680514190386
28639.0,9.98,1.1120349511734298,0.0,0.0,0.8093,1400.516,-99.0,-99.0,-99.0,-12.146626262626263
28706.0,10.34,1.211280767964129,0.0,0.0,0.6642,378.1266,-99.0,-99.0,407.8699,0.4416275876204643
28792.0,10.55,1.416790238241989,0.0,0.0,0.7101,-99.0,152.8826,383.0753,894.4954,0.48849653111687324
28945.0,10.66,0.3402457615679317,0.0,0.0,0.681,665.5466,109.3089,328.8816,96.8447,11.396979907005752
28948.0,10.39,0.9494875899465036,0.0,0.0,0.7326,464.5911,-99.0,-99.0,392.9072,0.6785090728803137
28956.0,10.3,1.5725114762201824,0.0,0.0,1.3521,676.8999,-99.0,-99.0,-99.0,-4.837372727272728
29014.0,9.99,0.7622282842864744,0.0,1.0,0.7024,235.0227,59.1993,97.3205,229.6974,1.7046013581346589
29111.0,10.96,1.8978524261612344,0.0,0.0,1.1722,812.0748,-99.0,-99.0,-99.0,-6.202775757575758
29183.0,10.17,0.8925398046586355,0.0,1.0,0.8275,395.2664,-99.0,-99.0,-99.0,-1.9925898989898987
29229.0,10.5,1.1823290406167055,0.0,0.0,0.8311,488.7295,-99.0,-99.0,-99.0,-2.936661616161616
29244.0,10.29,0.9424049408561068,0.0,1.0,0.6727,-99.0,73.4612,392.5682,728.147,0.5040594824946062
29407.0,10.21,1.2725841491100425,0.0,1.0,1.0203,334.1521,-99.0,-99.0,-99.0,-1.3752737373737376
29595.0,10.85,1.4200548157787636,0.0,0.0,0.9705,1946.6104,-99.0,-99.0,-99.0,-17.662731313131314
29767.0,11.02,2.3346427085627117,1.0,1.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
29906.0,10.05,0.7102866477028908,0.0,0.0,0.677,233.6517,35.0573,71.7965,188.1804,1.8094631534421226
29906.0,10.05,0.7102866477028908,0.0,0.0,0.677,233.6517,35.0573,71.7965,188.1804,1.8094631534421226
29973.0,10.38,1.2488311928079616,0.0,0.0,0.912,275.195,-99.0,-99.0,-99.0,-0.7797474747474746
30085.0,10.7,0.9140256516963288,1.0,1.0,0.9205,117.0924,-99.0,-99.0,-99.0,0.8172484848484849
30094.0,10.41,0.8604577954234711,0.0,0.0,0.8433,2061.0864,-99.0,-99.0,-99.0,-18.81905454545455
30143.0,10.42,1.518895425006695,0.0,1.0,0.9725,58.0135,-99.0,-99.0,-99.0,1.4140050505050505
30265.0,10.7,1.1842654430621078,0.0,1.0,0.8922,193.242,-99.0,-99.0,-99.0,0.04806060606060616
30294.0,10.45,2.063757311648593,0.0,1.0,0.9926,2588.8682,-99.0,-99.0,-99.0,-24.15018383838384
30406.0,10.33,0.2487087356009177,0.0,0.0,0.6637,247.7251,-99.0,-99.0,-99.0,-0.5022737373737374
30534.0,10.7,1.143451999021631,0.0,0.0,1.0783,212.2052,-99.0,-99.0,-99.0,-0.14348686868686858
30660.0,10.7,-0.0013048416883442,0.0,0.0,0.7529,194.2408,2.1948,-99.0,116.449,0.8367233724634818
30707.0,10.15,0.9161379831071752,0.0,1.0,0.6856,-99.0,146.3777,477.6666,687.7727,0.7633979947154053
30775.0,11.1,1.4672972555517878,0.0,0.0,0.8944,604.2543,-99.0,-99.0,-99.0,-4.103578787878788
30948.0,10.13,0.942652811693212,0.0,1.0,0.6951,916.5433,152.9147,-99.0,472.4829,2.0539536986417923
30968.0,10.65,0.8752928253710079,0.0,1.0,0.6708,163.0963,36.6899,49.582,210.8224,1.1828354102789838
31026.0,10.94,1.3831508538961748,0.0,1.0,0.7388,709.4778,-99.0,-99.0,530.8276,0.9635478637508675
31140.0,10.99,1.509605704611556,0.0,1.0,0.7104,-99.0,76.3423,160.2797,679.2106,0.20262051269517878
31263.0,10.79,-0.0150228735845066,0.0,1.0,0.928,334.5813,-99.0,-99.0,-99.0,-1.379609090909091
31406.0,10.1,1.0813473078041325,0.0,0.0,0.8112,1181.6622,-99.0,-99.0,-99.0,-9.935981818181817
31409.0,10.08,1.297651103243182,0.0,0.0,0.8685,440.4159,-99.0,-99.0,-99.0,-2.4486454545454546
31652.0,10.71,0.87069645798925,0.0,0.0,0.7329,227.1127,-99.0,-99.0,-99.0,-0.29406767676767664
31942.0,10.36,0.823930455125564,0.0,0.0,0.9097,155.6026,0.0,-99.0,0.0,N/A
32080.0,10.27,1.616160312847583,1.0,0.0,0.7104,-99.0,696.5577,2147.8777,887.55,3.0932740690665312
32251.0,10.77,0.4080702858871855,0.0,0.0,0.6226,-99.0,28.1691,66.7804,25.1932,-0.1607775113919629
32349.0,10.67,0.9356080185178692,0.0,0.0,0.6053,-99.0,85.0184,295.6947,430.5039,0.6543799022494338
32375.0,10.63,0.9161379831071752,0.0,0.0,0.9168,119.3359,-99.0,-99.0,-99.0,0.7945868686868688
32430.0,10.98,1.2704226083327774,0.0,0.0,0.7525,581.4194,-99.0,-99.0,146.7722,2.6123434819400404
32673.0,11.14,1.5023724883116891,0.0,0.0,0.9705,403.1038,-99.0,-99.0,-99.0,-2.0717555555555554
32673.0,11.14,1.5023724883116891,0.0,0.0,0.9705,403.1038,-99.0,-99.0,-99.0,-2.0717555555555554
32736.0,10.45,0.7335984609613392,0.0,0.0,0.6356,-99.0,25.6833,55.3941,270.3306,-0.0662988207772261
32807.0,10.83,1.2118677606566648,1.0,1.0,0.7164,-99.0,64.735,106.0076,242.3606,0.29601593658375164
32819.0,10.21,0.8009918612601714,0.0,1.0,0.6734,-99.0,63.5822,152.8988,455.459,0.2579397926048228
32841.0,10.27,0.8679386508907846,0.0,1.0,0.7291,218.649,16.5108,52.3221,132.3782,2.1716710153182324
32997.0,10.96,1.167140035508358,0.0,0.0,0.8347,409.5859,75.496,-99.0,244.9781,1.575985363589643
32997.0,10.96,1.167140035508358,0.0,0.0,0.8347,409.5859,75.496,-99.0,244.9781,1.575985363589643
35766.0,10.23,1.1652146399103294,1.0,1.0,0.7539,665.6786,-99.0,-99.0,-99.0,-4.724026262626262
35775.0,9.96,0.2182728535714475,0.0,1.0,0.7303,327.4507,-99.0,-99.0,-99.0,-1.3075828282828281
35873.0,10.9,1.39208111979816,0.0,0.0,0.8945,573.2125,-99.0,-99.0,-99.0,-3.7900252525252522
35873.0,10.9,1.39208111979816,0.0,0.0,0.8945,573.2125,-99.0,-99.0,-99.0,-3.7900252525252522
35937.0,9.96,1.0005208409361857,0.0,0.0,0.9655,844.0228,-99.0,-99.0,-99.0,-6.525482828282828
36056.0,10.49,0.4721711466923632,0.0,0.0,0.7343,-99.0,-4.2171,52.8193,150.515,-0.334835730658074
36171.0,9.93,1.6988570730890256,0.0,0.0,0.9695,375.2688,-99.0,-99.0,-99.0,-1.7905939393939394
36232.0,10.64,2.2155212425806687,0.0,0.0,0.753,-99.0,-99.0,-99.0,-99.0,3.0
36241.0,10.39,1.5209156470454417,0.0,1.0,0.9337,1172.9843,-99.0,-99.0,-99.0,-9.848326262626264
36251.0,9.91,0.9226216715231992,0.0,0.0,0.8309,880.4055,-99.0,-99.0,406.2138,1.6799170781494868
36439.0,10.01,0.9132308711135606,0.0,1.0,0.5538,-99.0,70.5833,129.1174,202.1106,0.49824551507936743
36641.0,10.73,0.8928178243095762,0.0,0.0,0.7747,306.0232,43.3854,135.6795,310.4328,1.56261870523991
36649.0,10.6,1.16354896490181,0.0,0.0,0.6768,466.519,-99.0,-99.0,461.1145,0.5823260816998814
36761.0,10.64,1.4769475021740748,0.0,0.0,0.9693,703.6827,-99.0,-99.0,-99.0,-5.1079060606060604
36863.0,10.34,1.260166826834355,0.0,0.0,0.8789,180.0036,-99.0,-99.0,-99.0,0.18178181818181813
36888.0,10.09,0.1634595517699901,0.0,1.0,0.6772,330.9877,21.4734,-99.0,191.6127,1.3227781874583473
36978.0,10.2,1.4778444763387584,0.0,0.0,0.8697,685.8547,-99.0,-99.0,-99.0,-4.927825252525253
37045.0,11.19,2.487329309900404,0.0,0.0,0.9682,2369.5735,-99.0,-99.0,-99.0,-21.935085858585857
37170.0,10.23,-0.185086818724926,0.0,1.0,0.6211,323.6626,27.4224,96.5397,125.8474,3.556884766788984
37348.0,10.61,1.949785083665596,0.0,0.0,1.0092,245.738,-99.0,-99.0,-99.0,-0.4822020202020202
37448.0,9.93,0.0086001717619175,0.0,1.0,0.8342,-99.0,-99.0,-99.0,-99.0,3.0
37473.0,10.56,1.6239725120169963,0.0,0.0,1.419,-99.0,-99.0,-99.0,-99.0,3.0
37505.0,10.7,1.187943529062527,0.0,1.0,0.8945,467.8643,-99.0,-99.0,391.469,0.6893631424199618
37584.0,10.06,1.132419798097615,1.0,0.0,0.7239,1435.3145,-99.0,-99.0,862.7604,1.4341345523044404
37838.0,10.13,0.7965743332104297,1.0,0.0,0.8962,213.0596,-99.0,-99.0,-99.0,-0.1521171717171716
37875.0,10.42,2.1353807487739265,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,3.0
38172.0,10.62,1.619802655489461,0.0,0.0,1.0686,966.9605,-99.0,-99.0,-99.0,-7.767277777777778
38216.0,10.53,1.3513517389928011,0.0,1.0,0.9145,28.9716,-99.0,-99.0,-99.0,1.7073575757575759
38279.0,11.29,0.8586574840908079,0.0,0.0,0.9567,1483.25,-99.0,-99.0,-99.0,-12.982323232323232
