id, EW3727, EW4959, EW5007, EWHbeta
6057.0,15.9296,0.4222,1.727,8.7769
10462.0,14.4407,0.6755,2.1672,7.9355
10902.0,3.6023,0.1168,0.5779,3.5985
25243.0,2.8715,0.3989,0.4938,2.5743
25361.0,5.5817,0.6274,0.9525,4.3369
28099.0,9.3832,0.1932,1.1716,3.8754
28616.0,6.9639,0.7029,1.2735,7.0201
29014.0,17.5751,2.182,3.9417,14.7441
29906.0,14.6577,1.1466,2.3932,7.8321
30968.0,5.9419,0.551,0.7744,4.1327
32841.0,15.037,0.5415,1.7543,5.8335
36641.0,6.8303,0.4491,1.5326,4.268
37170.0,11.3691,0.4321,1.6566,2.4615
39409.0,11.1949,1.6645,5.3168,8.3964
40560.0,33.5091,1.0966,4.2916,8.2801
41325.0,16.9379,9.4305,22.1405,5.6518
53400.0,6.3607,0.5481,0.8204,1.772
54672.0,6.5078,0.3377,0.3001,1.8282
55210.0,9.0774,0.7748,2.7024,7.4646
55866.0,26.7547,1.6906,8.3946,12.8708
56054.0,4.4782,1.0327,3.6576,4.1795
56919.0,11.2683,0.7539,2.2577,8.3735
58707.0,26.2471,3.0148,8.0006,15.4888
58710.0,13.8023,0.9626,3.9217,8.4917
59928.0,18.1858,1.8141,4.4341,7.866
60186.0,25.0281,1.7595,5.1998,16.5298
61242.0,7.5713,0.6699,1.2376,6.2456
61327.0,21.9627,0.7826,2.6349,7.896
64754.0,13.3414,0.7871,1.8373,9.4186
65508.0,15.0863,6.3191,19.8857,11.7765
65699.0,16.4721,0.8478,2.2032,10.4665
67141.0,27.3572,1.4044,4.3231,10.8451
68343.0,16.743,0.3964,2.5229,2.2447
68830.0,13.8061,0.7783,2.8437,2.7682
69628.0,14.6888,0.7091,2.8255,11.7187
69821.0,4.1586,0.2955,0.7898,4.8081
70416.0,12.9923,1.3094,2.1765,8.3685
70987.0,37.0574,4.5648,18.7686,19.2663
73754.0,58.2252,11.6692,37.2807,25.2332
75936.0,29.3359,3.154,13.3461,13.4056
76238.0,18.581,0.8979,3.0773,12.3401
76997.0,16.9549,1.234,3.5943,5.2977
80044.0,13.2233,1.1953,3.2036,4.8462
83849.0,24.1391,1.7842,5.2652,9.9704
84726.0,7.5842,0.6764,2.0323,3.363
85528.0,23.329,1.7224,5.5591,11.9656
86610.0,7.6922,0.3809,1.2232,4.9209
