PLATEIFU,STELLAR_SIGMA_1RE,HA_GSIGMA_1RE,SFR_TOT
7443-1902,51.339592,270.96127,0.00021406014
7443-12704,65.18008,47.4936,0.10437316
7443-1901,37.87883,27.796017,0.046947174
7443-3702,211.06818,479.7336,0.039944503
7443-3704,51.55914,27.926477,0.038960442
7443-12701,63.41456,774.38165,0.0027225188
7443-3701,52.221245,21.018167,0.040221334
7443-12705,69.02339,43.208633,0.56159633
7443-6104,138.64563,158.9738,0.124319896
7443-6102,90.43372,39.75215,0.63374007
7443-6103,65.49334,26.664156,0.14334124
7443-3703,211.33134,259.05222,0.026110278
7443-9101,61.269173,42.529385,0.7449393
7443-6101,11.541131,28.07876,0.037812244
7443-9102,283.1664,536.07886,0.050281454
7443-12703,127.9998,75.69827,2.7466373
7443-12702,55.045864,24.689318,0.44394544
7495-6103,53.2293,24.881313,0.011337314
7495-1901,100.41975,373.15298,0.0018080871
7495-1902,58.999386,63.37277,0.011092324
7495-3704,159.15324,129.68707,0.015439178
7495-12705,90.97146,39.2078,0.24073865
7495-3701,99.30945,48.893555,0.7681122
7495-3702,58.975372,36.770588,0.077706724
7495-3703,43.699764,29.17258,0.043999325
7495-6102,64.565254,25.663647,0.27895018
7495-9101,76.96511,33.798683,0.05888049
7495-6104,30.063301,23.678366,0.015503601
7495-9102,85.60827,69.23529,0.01755866
7495-6101,35.37877,21.33752,0.025299085
7495-12701,118.50439,76.84078,0.12213119
7495-12704,74.40328,34.109177,0.37720978
7495-12702,72.30376,40.25495,0.2290236
7495-12703,53.67196,29.774597,0.3159621
7815-1901,61.32464,64.67505,0.0029905427
7815-3703,209.11398,145.49428,0.017836042
7815-3704,132.59601,109.80298,0.15246975
7815-3702,80.814545,53.605103,0.49166146
7815-12704,104.18733,53.49281,0.33770987
7815-3701,153.93927,103.551254,0.348663
7815-12705,80.13011,43.69485,0.68305963
7815-6104,311.08475,170.8188,3.078323
7815-9102,50.428745,32.1507,0.14142823
7815-6102,249.4818,193.2113,0.11733131
7815-12703,89.536835,81.673546,0.15357594
7815-6103,105.50607,58.067936,2.9688914
7815-12702,48.74883,25.603539,0.0901625
7815-1902,41.901215,296.6292,0.0002250606
7815-6101,-999.0,18.57392,0.030325701
7815-9101,48.086945,27.480688,0.16250001
7815-12701,38.636997,20.16516,0.032163028
7991-1902,113.10084,147.51035,0.0043412102
7991-3701,320.76813,544.7332,0.023771076
7991-3702,95.09604,92.32267,0.0418975
7991-3704,138.08513,93.60625,0.023592588
7991-3703,51.091057,463.48587,0.0012531057
7991-6104,110.25042,141.71606,0.26676416
7991-6102,56.339832,534.921,0.0014776402
7991-9102,233.28285,379.39664,0.051833395
7991-9101,51.98017,28.317844,0.088153936
7991-12702,227.70792,242.5179,0.035337374
7991-12705,133.32143,71.07062,0.69533163
7991-12704,52.645607,22.151081,0.11475656
7991-12703,109.07969,78.91837,0.10209851
7991-1901,471.48575,713.0371,5.787319
7991-12701,69.968056,39.23074,1.0174595
7991-6103,32.34158,29.941568,0.08230755
7991-6101,126.27562,317.49365,0.012446938
7977-1902,84.9227,48.24294,0.25551093
7977-3702,162.04541,143.84583,2162.5432
7977-3704,96.24015,57.51099,0.07949449
7977-3701,111.5862,82.72782,0.016038554
7977-3703,62.39307,34.19421,0.4150236
7977-6103,30.760942,28.617367,0.07411323
7977-9101,97.41226,715.9016,0.33728945
7977-9102,109.90492,80.11856,0.82427144
7977-1901,127.83576,541.5068,0.0021329818
7977-12704,99.93923,65.57656,0.24669018
7977-12702,241.90916,178.41037,0.106522255
7977-6104,151.4441,113.6613,0.011854369
7977-12703,127.53662,71.49023,0.8465649
7977-12705,135.64769,103.15985,0.28791755
7977-6101,170.09276,263.3447,0.041945554
7977-12701,271.64972,224.6612,3.1951807
7977-6102,235.10295,309.5183,0.016505014
7979-1902,109.219154,39.283882,1.0083141
7979-3704,95.82416,325.74814,0.0013763444
7979-3702,64.551544,310.58725,0.00062964833
7979-3701,62.73106,421.79263,0.0012421893
7979-6102,83.270355,74.282394,0.014602455
7979-3703,46.478664,32.21903,0.0143930195
7979-9101,151.16475,229.15213,0.33230516
7979-9102,130.41687,79.93678,0.08103895
7979-12702,91.47093,449.25928,0.004215948
7979-6104,91.04135,456.18356,0.002505708
7979-12703,124.85775,438.1368,0.021454526
7979-12704,64.15076,43.516106,0.13032556
7979-6101,240.26976,520.05,0.041354265
7979-12701,96.14453,95.826546,0.2743197
7979-12705,43.76454,25.05452,0.044058785
7979-1901,254.21968,376.4297,0.04756141
7979-6103,28.147417,28.592754,0.013375695
7975-1902,108.16927,70.78523,0.043073192
7975-3703,186.34874,235.61684,0.015839715
7975-3704,258.40262,133.38179,0.1385085
7975-3702,283.86038,521.0346,0.049459316
7975-3701,59.947773,36.10901,0.16699308
7975-9102,66.436745,34.624306,0.24483426
7975-9101,68.637245,41.9274,0.9894808
7975-6104,120.23461,54.05358,0.63845676
7975-12704,148.79147,117.612175,0.9844462
7975-6102,109.21954,58.815334,0.09863033
7975-12701,161.32057,93.65125,0.11531318
7975-12702,121.84476,83.82454,0.44938117
7975-1901,52.345947,36.91258,0.18974668
7975-12703,68.940285,35.594364,0.23862797
7975-12705,82.100624,30.82148,0.26858956
7975-6103,202.70117,458.0538,0.020547364
7975-6101,236.52342,430.90088,0.030791165
7990-1902,151.0859,94.83085,0.3933687
7990-6102,47.00153,32.704582,0.007396548
7990-3701,131.03088,115.17075,0.012651184
7990-3704,75.22428,63.933495,0.011995271
7990-3703,77.84545,48.24282,1.5198997
7990-3702,71.33816,48.33772,0.027055142
7990-1901,196.7223,184.99939,0.029811895
7990-6101,47.13051,31.955936,0.025437027
7990-6103,74.29672,43.250492,0.07959685
7990-9101,59.48798,45.16101,0.06330192
7990-9102,74.91753,73.9934,0.027939325
7990-12704,80.80018,61.153442,0.10235515
7990-12705,128.09473,113.81461,0.025468523
7990-12702,93.89734,52.161003,0.027623517
7990-12703,43.971806,20.218613,0.029194022
7990-12701,38.492428,23.510046,0.14598528
7990-6104,61.63987,41.402454,0.5174776
8082-6103,49.83022,28.396378,0.4524912
8082-1902,66.12558,462.03986,0.00060236314
8082-6102,149.52792,196.42749,0.04332155
8082-6101,72.36,45.75652,0.0057957955
8082-3702,47.036083,30.026491,0.01821146
8082-9102,100.700645,69.01893,0.53497356
8082-12703,69.81775,45.26813,0.14635263
8082-3703,87.11589,572.339,0.0025493219
8082-12704,148.33913,79.66436,0.76418
8082-12705,255.97481,417.16928,0.06833585
8082-9101,65.64584,25.966908,0.022560118
8082-12702,143.15286,112.39546,0.20246415
8082-12701,67.06158,55.64417,0.28050423
8082-6104,199.36615,298.18036,0.0617613
8082-1901,71.03109,91.30772,0.010271213
8082-3704,60.2932,461.5434,0.0029026184
8082-3701,56.298172,34.575054,0.01385663
8131-1901,317.001,342.78445,0.0060672523
8131-1902,221.93483,634.2373,0.018607613
8131-9101,93.26083,45.285484,2.2060437
8131-9102,104.65488,74.53155,0.19198015
8131-12701,52.81771,20.150576,0.08747685
8131-6104,166.95403,85.0078,0.35457447
8131-3703,302.66486,417.38794,0.049238455
8131-12702,296.12802,215.09695,0.0627276
8131-6102,268.7936,589.7052,0.029198894
8131-6103,265.20685,382.61084,0.023370467
8131-12703,55.34731,34.025913,0.19257158
8131-3702,115.96827,414.16223,0.0036804108
8131-3704,267.76007,326.04153,0.019294988
8131-12705,238.32121,358.9046,0.09226536
8131-12704,108.714966,72.42566,0.12810369
8131-6101,85.61696,52.530224,0.50682145
8131-3701,148.65285,86.18147,0.21485843
8083-6102,155.38869,170.79651,0.07476811
8083-6103,158.45013,192.48651,0.022854796
8083-6101,89.71956,56.48371,0.028395638
8083-1901,53.889606,154.751,0.001476242
8083-6104,103.31891,479.7497,0.0008043128
8083-3704,55.551865,56.766003,0.012973251
8083-9101,129.64227,80.1054,0.4850082
8083-12702,80.97179,31.010357,0.83975786
8083-12704,49.502876,18.64457,0.3861027
8083-12701,74.7009,38.951633,0.03222271
8083-12703,84.41596,54.982956,0.37662956
8083-1902,218.98558,477.75644,0.007851928
8083-12705,68.18791,30.223696,0.5862459
8083-3702,53.233746,37.197315,0.041633986
8083-3701,40.90828,26.643549,0.0035738181
8083-3703,55.319824,33.48495,0.151527
