,id,ra,dec,z_spec,z_phot,log_mass,log_sfr,is_mass_clumpy,is_UV_clumpy
0,115,150.37968,1.6273575,-1.0,1.284,10.39,1.314478175864182,True,True
1,147,150.41902,1.6287317,-1.0,1.473,10.52,-0.048176964684088,False,False
2,160,150.41444,1.629995,-1.0,1.152,10.68,1.606671514477711,False,False
3,177,150.38857,1.6339351,-1.0,1.599,10.17,1.6682740667992064,True,True
4,189,150.39014,1.6354102,-1.0,0.58,9.85,0.6525364185930255,True,True
5,206,150.3961,1.6378967,-1.0,0.549,10.07,0.6125719540651762,False,True
6,212,150.37469,1.6400337,-1.0,1.353,10.3,1.2218313774896354,False,True
7,218,150.40968,1.6409709,-1.0,0.967,10.29,0.0689276116820718,False,False
8,242,150.42091,1.6440823,-1.0,1.705,11.11,1.348324337700387,False,False
9,249,150.38565,1.6445907,-1.0,1.353,10.67,0.1122697684172706,False,False
10,250,150.39218,1.6456186,-1.0,0.729,9.97,0.2132520521963966,False,True
11,253,150.40483,1.6458321,-1.0,0.853,9.97,1.1047601666385252,False,True
12,263,150.38701,1.6464143,-1.0,0.711,10.41,1.531823661088799,False,False
13,292,150.39818,1.6502703,-1.0,1.284,10.84,1.6474123133450558,False,True
14,304,150.384,1.6525536,-1.0,0.909,10.05,1.2770129393765275,True,False
15,325,150.41435,1.6531852,-1.0,0.534,9.9,0.3564083270389812,False,True
16,346,150.48717,1.6537523,-1.0,0.948,10.14,1.3749681862992342,False,True
17,406,150.4565,1.656811,-1.0,1.109,10.01,1.034949146676372,True,True
18,409,150.48759,1.656886,0.8329,0.799,10.27,1.245018870737753,False,True
19,428,150.45322,1.6570563,-1.0,1.047,10.43,1.680036209510921,False,True
20,431,150.67397,1.6578225,-1.0,1.007,10.09,1.6647453666962169,True,True
21,439,150.40132,1.6574944,-1.0,1.498,10.66,1.916475004741629,False,True
22,440,150.42719,1.6579643,-1.0,1.815,10.49,2.109217328276266,False,True
23,449,150.38084,1.6582079,-1.0,0.872,10.07,0.7593656216559287,True,True
24,462,150.41855,1.6582417,-1.0,1.261,10.14,1.430655447699665,True,True
25,491,150.44637,1.6602755,-1.0,1.307,10.59,0.8801273222166249,False,True
26,499,150.38109,1.6599962,-1.0,0.928,10.07,0.8043439184798659,True,True
27,506,150.6254,1.6607558,-1.0,1.13,9.94,0.5016069224188293,True,True
28,515,150.49596,1.6598878,-1.0,0.645,10.54,1.0574378682129393,False,False
29,517,150.40771,1.6606834,-1.0,0.596,9.9,-0.5559552040819238,True,True
30,562,150.68555,1.6615573,-1.0,0.645,10.11,1.1900794539415147,True,False
31,565,150.40933,1.6619889,-1.0,0.948,10.07,1.2045540601352434,False,False
32,567,150.6564,1.6610489,-1.0,1.261,10.7,1.856976470339088,False,True
33,571,150.38809,1.6621435,-1.0,0.967,9.91,1.082713580171332,False,True
34,572,150.39061,1.6599315,-1.0,0.628,9.93,0.2100508498751372,False,False
35,579,150.68542,1.6610663,-1.0,0.628,10.56,1.6731407595547945,False,True
36,580,150.60487,1.6629809,-1.0,1.815,10.66,1.8663641462819185,True,False
37,585,150.6324,1.6617811,-1.0,0.948,10.56,0.9325752234982906,False,False
38,586,150.41286,1.6626189,-1.0,1.152,10.41,1.1501114251287818,False,True
39,599,150.68515,1.6631649,-1.0,0.694,9.8,0.6313422864839328,False,True
40,615,150.38666,1.6626885,-1.0,0.967,10.69,1.2152144290872275,False,False
41,628,150.61592,1.6640675,-1.0,0.872,10.04,0.8588979572320035,True,True
42,632,150.38313,1.6639528,-1.0,0.928,10.45,1.3068323226843754,False,False
43,637,150.41289,1.6642551,-1.0,0.948,10.19,0.9967742708613044,True,True
44,674,150.40108,1.6657106,-1.0,1.284,10.34,1.5064915027710166,False,False
45,683,150.62228,1.6638772,-1.0,0.519,10.62,0.745777217889759,False,True
46,689,150.45546,1.6658804,-1.0,0.89,10.1,1.1035984939779375,False,True
47,726,150.44533,1.6673758,-1.0,1.377,10.31,1.4731656923135477,False,True
48,733,150.60371,1.6665459,-1.0,0.967,10.35,1.3685100195954638,False,True
49,737,150.6348,1.6665636,-1.0,0.853,10.15,1.2147379096444642,False,False
50,764,150.6188,1.6679366,-1.0,1.284,10.81,1.5765141120519628,False,True
51,766,150.58691,1.6687996,-1.0,1.261,10.15,1.5790057418872046,True,True
52,783,150.47363,1.6684031,-1.0,1.109,10.4,1.430607111301399,False,False
53,798,150.40211,1.6693511,-1.0,1.047,10.11,1.107820267248048,False,False
54,804,150.58742,1.6687506,-1.0,1.261,10.86,2.1447951901472533,False,True
55,823,150.63986,1.6696508,-1.0,1.261,10.41,0.8004421213362566,True,True
56,832,150.60498,1.6701868,-1.0,1.261,10.35,0.2506639194632435,False,False
57,838,150.43336,1.6705904,-1.0,1.027,9.92,0.6900187807886953,False,False
58,858,150.59016,1.6707177,-1.0,0.694,9.81,0.5578679615680222,True,False
