plateifu,nsa_elpetro_mass
10001-12701,2685340000.0
10001-12702,4642460000.0
10001-12703,9439710000.0
10001-12704,4218380000.0
10001-12705,9651730000.0
10001-1901,1378800000.0
10001-1902,11365900000.0
10001-3701,5164150000.0
10001-3702,7120350000.0
10001-3703,3108960000.0
10001-3704,17174900000.0
10001-6101,96716800000.0
10001-6102,18648300000.0
10001-6103,31737100000.0
10001-6104,99188900000.0
10001-9101,3791750000.0
10001-9102,55367000000.0
10141-12701,-9999.0
10141-12702,-9999.0
10141-12703,-9999.0
10141-12704,-9999.0
10141-12705,-9999.0
10141-1901,-9999.0
10141-1902,-9999.0
10141-3701,-9999.0
10141-3702,-9999.0
10141-3703,-9999.0
10141-3704,-9999.0
10141-6101,-9999.0
10141-6102,-9999.0
10141-6103,-9999.0
10141-6104,-9999.0
10141-9101,-9999.0
10141-9102,-9999.0
10142-12701,-9999.0
10142-12702,-9999.0
10142-12703,-9999.0
10142-12704,-9999.0
10142-12705,-9999.0
10142-1901,-9999.0
10142-1902,-9999.0
10142-3701,-9999.0
10142-3702,-9999.0
10142-3703,-9999.0
10142-3704,-9999.0
10142-6101,-9999.0
10142-6102,-9999.0
10142-6103,-9999.0
10142-6104,-9999.0
10142-9101,-9999.0
10142-9102,-9999.0
10143-12701,-9999.0
10143-12702,-9999.0
10143-12703,-9999.0
10143-12704,-9999.0
10143-12705,-9999.0
10143-1901,-9999.0
10143-1902,-9999.0
10143-3701,-9999.0
10143-3702,-9999.0
10143-3703,-9999.0
10143-3704,-9999.0
10143-6101,-9999.0
10143-6102,-9999.0
10143-6103,-9999.0
10143-6104,-9999.0
10143-9101,-9999.0
10143-9102,-9999.0
10144-12701,-9999.0
10144-12702,-9999.0
10144-12703,-9999.0
10144-12704,-9999.0
10144-12705,-9999.0
10144-1901,-9999.0
10144-1902,-9999.0
10144-3701,-9999.0
10144-3702,-9999.0
10144-3703,-9999.0
10144-3704,-9999.0
10144-6101,-9999.0
10144-6102,-9999.0
10144-6103,-9999.0
10144-6104,-9999.0
10144-9101,-9999.0
10144-9102,-9999.0
10145-12701,-9999.0
10145-12702,-9999.0
10145-12703,-9999.0
10145-12704,-9999.0
10145-12705,-9999.0
10145-1901,-9999.0
10145-1902,-9999.0
10145-3701,-9999.0
10145-3702,-9999.0
10145-3703,-9999.0
10145-3704,-9999.0
10145-6101,-9999.0
10145-6102,-9999.0
10145-6103,-9999.0
10145-6104,-9999.0
10145-9101,-9999.0
10145-9102,-9999.0
10146-12701,-9999.0
10146-12702,-9999.0
10146-12703,-9999.0
10146-12704,-9999.0
10146-12705,-9999.0
10146-1901,-9999.0
10146-1902,-9999.0
10146-3701,-9999.0
10146-3702,-9999.0
10146-3703,-9999.0
10146-3704,-9999.0
10146-6101,-9999.0
10146-6102,-9999.0
10146-6103,-9999.0
10146-6104,-9999.0
10146-9101,-9999.0
10146-9102,-9999.0
10147-12701,-9999.0
10147-12702,-9999.0
10147-12703,-9999.0
10147-12704,-9999.0
10147-12705,-9999.0
10147-1901,-9999.0
10147-1902,-9999.0
10147-3701,-9999.0
10147-3702,-9999.0
10147-3703,-9999.0
10147-3704,-9999.0
10147-6101,-9999.0
10147-6102,-9999.0
10147-6103,-9999.0
10147-6104,-9999.0
10147-9101,-9999.0
10147-9102,-9999.0
10148-12701,-9999.0
10148-12702,-9999.0
10148-12703,-9999.0
10148-12704,-9999.0
10148-12705,-9999.0
10148-1901,-9999.0
10148-1902,-9999.0
10148-3701,-9999.0
10148-3702,-9999.0
10148-3703,-9999.0
10148-3704,-9999.0
10148-6101,-9999.0
10148-6102,-9999.0
10148-6103,-9999.0
10148-6104,-9999.0
10148-9101,-9999.0
10148-9102,-9999.0
10149-12701,-9999.0
10149-12702,-9999.0
10149-12703,-9999.0
10149-12704,-9999.0
10149-12705,-9999.0
10149-1901,-9999.0
10149-1902,-9999.0
10149-3701,-9999.0
10149-3702,-9999.0
10149-3703,-9999.0
10149-3704,-9999.0
10149-6101,-9999.0
10149-6102,-9999.0
10149-6103,-9999.0
10149-6104,-9999.0
10149-9101,-9999.0
10149-9102,-9999.0
10150-12701,-9999.0
10150-12702,-9999.0
10150-12703,-9999.0
10150-12704,-9999.0
10150-12705,-9999.0
10150-1901,-9999.0
10150-1902,-9999.0
10150-3701,-9999.0
10150-3702,-9999.0
10150-3703,-9999.0
10150-3704,-9999.0
10150-6101,-9999.0
10150-6102,-9999.0
10150-6103,-9999.0
10150-6104,-9999.0
10150-9101,-9999.0
10150-9102,-9999.0
10213-12701,119406000000.0
10213-12702,2020900000.0
10213-12703,3419100000.0
10213-12704,109122000000.0
10213-12705,14785400000.0
10213-1901,13031600000.0
10213-1902,28607300000.0
10213-3701,116871000000.0
10213-3702,129150000000.0
10213-3703,2032030000.0
10213-3704,172770000000.0
10213-6101,37063700000.0
10213-6102,41722800000.0
10213-6103,30251900000.0
10213-6104,81852000000.0
10213-9101,8285070000.0
10213-9102,564878000.0
10214-12701,6352370000.0
10214-12702,62529000000.0
10214-12703,59414700000.0
10214-12704,154829000000.0
