matching_IDs,filtered_sfr,mass_filtered_color,UV_filtered_color,kinematics_sigma0,kinematics_vrot_Re,kinematics_vrot_Re2
39409.0,1.0432050388876584,0.0,0.0,53.4,189.0,204.3
56919.0,0.8948143290833008,0.0,0.0,63.5,204.0,234.1
70416.0,1.277792518931442,0.0,1.0,62.8,234.2,245.9
73754.0,0.9286518466536946,1.0,1.0,93.2,133.0,181.4
86943.0,0.8857568810692674,0.0,1.0,62.7,242.9,263.5
91840.0,1.0754374615856128,0.0,1.0,9.5,236.9,288.5
105701.0,1.3009431280805526,0.0,0.0,173.0,209.5,216.7
117232.0,0.8526019693382348,0.0,1.0,130.8,228.8,255.4
118390.0,0.9921557110426168,0.0,0.0,92.8,280.6,297.5
128659.0,1.727142564161833,0.0,1.0,167.9,190.6,197.2
138923.0,1.139249217571607,0.0,1.0,88.6,189.2,193.0
147029.0,0.95433900860246,0.0,1.0,49.6,179.0,197.5
149055.0,1.3156345291000322,0.0,0.0,169.9,100.7,143.4
161439.0,1.1048284036536553,0.0,1.0,91.4,224.5,243.6
162620.0,0.8213169705910973,0.0,1.0,105.9,123.1,128.7
180320.0,1.0939117410493782,0.0,1.0,84.2,77.9,83.6
196913.0,1.7177536932107156,0.0,0.0,114.4,296.8,306.3
205906.0,1.2388987922278405,0.0,1.0,94.3,218.6,225.7
215058.0,0.5997739391463883,0.0,0.0,44.4,190.9,219.3
216523.0,1.189434163401028,0.0,0.0,95.9,148.7,161.8
234911.0,1.0699269687524724,1.0,1.0,65.9,250.9,270.4
256221.0,1.5220528008688226,0.0,1.0,54.6,183.7,199.8
256256.0,1.1447609607760731,0.0,1.0,150.9,34.6,38.1
241820.0,1.4364171040463676,0.0,1.0,135.0,157.7,166.6
10462.0,0.7567121601647717,0.0,0.0,109.1,89.8,97.5
10902.0,0.9241241531858247,0.0,0.0,54.9,293.9,298.2
65699.0,1.4540059381037904,0.0,0.0,87.4,50.7,52.9
101992.0,1.175772659601536,0.0,0.0,229.5,73.6,79.6
109010.0,1.8046981332096304,1.0,1.0,321.3,118.3,132.3
127745.0,1.082569964269923,0.0,0.0,78.0,255.1,268.2
209031.0,1.146252102092995,0.0,0.0,58.7,151.1,156.2
228931.0,1.0060807827160938,0.0,0.0,52.0,331.9,341.4
246882.0,1.673923595935642,0.0,0.0,79.6,171.4,179.2
200059.0,1.509860859929156,0.0,0.0,236.6,195.2,219.9
225097.0,0.1007150865730815,0.0,0.0,120.4,230.4,289.4
